#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ALG11	ALG3	4932.YNL048W	4932.YBL082C	0	0	0	0	0	0.428	0.925	0.889	0.994
ALG11	MNN10	4932.YNL048W	4932.YDR245W	0	0	0	0	0.141	0	0	0.414	0.475
ALG11	GPI11	4932.YNL048W	4932.YDR302W	0	0	0	0	0.082	0.073	0	0.549	0.582
ALG11	MNN1	4932.YNL048W	4932.YER001W	0	0	0	0	0.051	0.225	0	0.477	0.582
ALG11	OCH1	4932.YNL048W	4932.YGL038C	0	0	0	0	0.093	0.094	0	0.343	0.413
ALG11	VRG4	4932.YNL048W	4932.YGL225W	0	0	0	0	0.060	0	0	0.738	0.744
ALG11	CAX4	4932.YNL048W	4932.YGR036C	0.048	0	0	0	0.080	0	0	0.411	0.440
ALG11	MNN11	4932.YNL048W	4932.YJL183W	0	0	0	0	0.102	0	0	0.516	0.547
ALG11	MNN5	4932.YNL048W	4932.YJL186W	0	0	0	0	0.062	0	0	0.418	0.431
ALG11	OST6	4932.YNL048W	4932.YML019W	0	0	0	0	0.097	0	0	0.443	0.475
ALG11	VAN1	4932.YNL048W	4932.YML115C	0.050	0	0	0	0.199	0	0.281	0.718	0.825
ALG11	GNT1	4932.YNL048W	4932.YOR320C	0	0	0	0	0.106	0.315	0	0.099	0.400
ALG11	MNN9	4932.YNL048W	4932.YPL050C	0	0	0	0	0.169	0	0	0.713	0.752
ALG11	ALG6	4932.YNL048W	4932.YOR002W	0	0	0	0	0.097	0	0	0.931	0.935
ALG11	ALG8	4932.YNL048W	4932.YOR067C	0	0	0	0	0.123	0	0	0.930	0.936
ALG11	ALG12	4932.YNL048W	4932.YNR030W	0	0	0	0	0.063	0	0	0.947	0.948
ALG12	PMT2	4932.YNR030W	4932.YAL023C	0	0	0	0	0.145	0	0	0.638	0.677
ALG12	ALG3	4932.YNR030W	4932.YBL082C	0	0	0	0	0.097	0.994	0	0.995	0.999
ALG12	GPI18	4932.YNR030W	4932.YBR004C	0	0	0	0	0	0	0	0.631	0.631
ALG12	MNN2	4932.YNR030W	4932.YBR015C	0	0	0	0	0.070	0	0	0.479	0.494
ALG12	PMT5	4932.YNR030W	4932.YDL093W	0	0	0	0	0.224	0	0	0.510	0.604
ALG12	GPI11	4932.YNR030W	4932.YDR302W	0	0	0	0	0.097	0	0	0.449	0.481
ALG12	PMT6	4932.YNR030W	4932.YGR199W	0	0	0	0	0.119	0	0	0.349	0.402
ALG12	MNN11	4932.YNR030W	4932.YJL183W	0	0	0	0	0.068	0.330	0	0.296	0.522
ALG12	MNS1	4932.YNR030W	4932.YJR131W	0	0	0	0	0.323	0	0	0.447	0.610
ALG12	PMT4	4932.YNR030W	4932.YJR143C	0	0	0	0	0.175	0	0	0.582	0.641
ALG12	OST6	4932.YNR030W	4932.YML019W	0	0	0	0	0.063	0.470	0	0.816	0.900
ALG12	PMT3	4932.YNR030W	4932.YOR321W	0	0	0	0	0.145	0	0	0.659	0.697
ALG12	ALG8	4932.YNR030W	4932.YOR067C	0	0	0	0	0.095	0.163	0	0.968	0.974
ALG12	ALG6	4932.YNR030W	4932.YOR002W	0	0	0	0	0.076	0.329	0	0.993	0.995
